video_clip_id,target_clip_ids,video_clip_narration,target_clip_narration,instruction,modified_captions
d1d1b6da-e7f8-48e7-9ee4-d8382582695a_971_980,['d1d1b6da-e7f8-48e7-9ee4-d8382582695a_897_906'],#C C takes the sieve,#C C shakes the sieve,Shake it.," #C C shakes the bowl."
d1d1b6da-e7f8-48e7-9ee4-d8382582695a_897_906,['d1d1b6da-e7f8-48e7-9ee4-d8382582695a_971_980'],#C C shakes the sieve,#C C takes the sieve,Take it instead.," #C C takes the food from the bowl"
33052ab8-d0af-414c-8655-3046c6990f3c_298_307,['33052ab8-d0af-414c-8655-3046c6990f3c_243_252'],#C C holds the basket of flowers on the floor with her left hand.,#C C puts the white flowers on the tray with her right hand.,Transfer it to the tray.," #C C puts the pink petunia on the tray with her right hand"
33052ab8-d0af-414c-8655-3046c6990f3c_243_252,['33052ab8-d0af-414c-8655-3046c6990f3c_298_307'],#C C puts the white flowers on the tray with her right hand.,#C C holds the basket of flowers on the floor with her left hand.,Place it on the floor.," #C C puts the flower on the floor."
124d8745-52d7-464c-bb46-65b96bbdcffa_1815_1824,['124d8745-52d7-464c-bb46-65b96bbdcffa_2009_2018'],#C C types on the keyboard,#C C holds the mouse,Hold the mouse instead.," #C C holds the mouse."
124d8745-52d7-464c-bb46-65b96bbdcffa_2050_2059,['124d8745-52d7-464c-bb46-65b96bbdcffa_2009_2018'],#C C types on the keyboard,#C C holds the mouse,Switch to the mouse.," #C C clicks with the mouse."
124d8745-52d7-464c-bb46-65b96bbdcffa_2009_2018,"['124d8745-52d7-464c-bb46-65b96bbdcffa_2050_2059', '124d8745-52d7-464c-bb46-65b96bbdcffa_1815_1824']",#C C holds the mouse,#C C types on the keyboard,Type instead.," #C C types on a keyboard."
d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_129_138,"['d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_170_179', 'd0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_65_74']",#C C types on the keyboard,#C C picks a cup from the table,Pick up the cup.," #C C picks up the cup."
d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_144_153,"['d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_170_179', 'd0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_65_74']",#C C types on the keyboard,#C C picks a cup from the table,Pick up the cup.," #C C picks up the cup."
d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_170_179,"['d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_129_138', 'd0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_144_153']",#C C picks a cup from the table,#C C types on the keyboard,Type instead.," #C C types on the keyboard."
d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_65_74,"['d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_129_138', 'd0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_144_153']",#C C picks a cup,#C C types on the keyboard,Type instead.," #C C types on the laptop"
d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_226_235,['d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_198_207'],#C C puts a phone on the table,#C C picks a phone from the table,Pick it up.," #C C picks up the phone."
d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_198_207,['d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_226_235'],#C C picks a phone from the table,#C C puts a phone on the table,Place it down.," #C C places it down."
