clip_name,narration_text,video_uid
d1d1b6da-e7f8-48e7-9ee4-d8382582695a_971_980,#C C takes the sieve,d1d1b6da-e7f8-48e7-9ee4-d8382582695a
d1d1b6da-e7f8-48e7-9ee4-d8382582695a_897_906,#C C shakes the sieve,d1d1b6da-e7f8-48e7-9ee4-d8382582695a
33052ab8-d0af-414c-8655-3046c6990f3c_298_307,#C C holds the basket of flowers on the floor with her left hand.,33052ab8-d0af-414c-8655-3046c6990f3c
33052ab8-d0af-414c-8655-3046c6990f3c_243_252,#C C puts the white flowers on the tray with her right hand.,33052ab8-d0af-414c-8655-3046c6990f3c
124d8745-52d7-464c-bb46-65b96bbdcffa_1815_1824,#C C types on the keyboard,124d8745-52d7-464c-bb46-65b96bbdcffa
124d8745-52d7-464c-bb46-65b96bbdcffa_2050_2059,#C C types on the keyboard,124d8745-52d7-464c-bb46-65b96bbdcffa
124d8745-52d7-464c-bb46-65b96bbdcffa_2009_2018,#C C holds the mouse,124d8745-52d7-464c-bb46-65b96bbdcffa
d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_129_138,#C C types on the keyboard,d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24
d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_144_153,#C C types on the keyboard,d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24
d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_170_179,#C C picks a cup from the table,d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24
d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_65_74,#C C picks a cup,d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24
d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_226_235,#C C puts a phone on the table,d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24
d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24_198_207,#C C picks a phone from the table,d0b0a1c5-d1a5-4cdb-8f15-c12d3c57cc24
a4528822-10e4-4e2d-8912-f6638d14572d_0_5,#C C removes a screw from a  brake caliper on a motorcycle with both hands.,a4528822-10e4-4e2d-8912-f6638d14572d
a4528822-10e4-4e2d-8912-f6638d14572d_61_70,#C C picks the t-spanner on the floor with his right hand.,a4528822-10e4-4e2d-8912-f6638d14572d
752dd54d-7835-475a-bccd-931fcf1e9655_0_5,#C C walks around workshop,752dd54d-7835-475a-bccd-931fcf1e9655
752dd54d-7835-475a-bccd-931fcf1e9655_297_306,#C C stirs paint,752dd54d-7835-475a-bccd-931fcf1e9655
94afcdb9-fa91-41a2-8949-64a1a2327f4d_970_979,#C C shifts dog thread to left hand on their way,94afcdb9-fa91-41a2-8949-64a1a2327f4d
94afcdb9-fa91-41a2-8949-64a1a2327f4d_949_958,#C C stands with dog,94afcdb9-fa91-41a2-8949-64a1a2327f4d
fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a_373_382,#C C puts the bucket aside,fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a
fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a_421_430,#C C touch face,fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a
fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a_0_7,#C C wipes the face,fb02682a-1e0e-49ee-a0f4-0df7f5fbe98a
